tempv	cap	l	Kr/K0	F	
1e-08	543816	14.3723	7.7344e-06	-0.0725804
1.49182e-08	221432	14.1038	1.01166e-05	-0.0725804
2.22554e-08	85780	13.8352	1.32334e-05	-0.0725804
3.32012e-08	30709.7	13.5666	1.7311e-05	-0.0725804
4.95303e-08	9661.93	13.298	2.26456e-05	-0.0725804
7.38906e-08	2436.72	13.0294	2.96246e-05	-0.0725804
1.10232e-07	440.86	12.7607	3.87549e-05	-0.0725804
1.64446e-07	105.065	12.492	5.06995e-05	-0.0725804
2.45325e-07	92.6538	12.2234	6.6326e-05	-0.0725803
3.65982e-07	89.8618	11.9547	8.6769e-05	-0.0725803
5.45982e-07	87.7961	11.686	0.000113513	-0.0725802
8.14509e-07	85.4288	11.4174	0.000148501	-0.0725801
1.2151e-06	82.5292	11.1487	0.000194273	-0.07258
1.81272e-06	80.3445	10.88	0.000254154	-0.0725797
2.70426e-06	77.4008	10.6113	0.000332491	-0.0725794
4.03429e-06	74.4995	10.3427	0.000434975	-0.0725789
6.01845e-06	72.68	10.074	0.000569047	-0.0725782
8.97847e-06	69.7308	9.8053	0.000744443	-0.0725771
1.33943e-05	67.341	9.5366	0.000973902	-0.0725754
1.9982e-05	64.8861	9.268	0.00127409	-0.0725729
2.98096e-05	60.9653	8.9993	0.00166679	-0.0725693
4.44707e-05	59.8506	8.7306	0.00218054	-0.0725638
6.63424e-05	56.2788	8.4619	0.00285263	-0.0725556
9.89713e-05	53.4516	8.1932	0.00373187	-0.0725435
0.000147648	51.1466	7.9245	0.00488208	-0.0725253
0.000220265	48.6361	7.6558	0.00638676	-0.0724983
0.000328596	45.5494	7.387	0.00835511	-0.072458
0.000490208	43.2105	7.1182	0.0109299	-0.072398
0.000731304	40.4823	6.8494	0.0142979	-0.0723088
0.00109098	37.6105	6.5804	0.0187032	-0.0721762
0.00162755	34.8533	6.3113	0.0244646	-0.0719795
0.00242802	31.6346	6.0421	0.0319985	-0.0716884
0.00362217	29.2417	5.7725	0.0418482	-0.0712585
0.00540365	26.3549	5.5025	0.0547213	-0.0706264
0.0080613	23.2178	5.2319	0.0715381	-0.0697012
